DecisionID,PriorityBand,PriorityScore,DecisionType,Domain,Entity,BusinessImpact,FinancialImpact,ExpectedROI,RiskLevel,Confidence,TimeSensitivity,SuggestedAction,Reasoning
DI-00001,P1,75.46,Upsell Premium Products,Customer,Champions,High,57612.12,1043.33,Low,100.0,This Week,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00002,P2,61.73,Upsell Premium Products,Customer,Champions,High,40985.42,1013.37,Low,100.0,This Month,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00003,P2,56.09,Retain High Value Customer,Churn,13902,Medium,15450.02,579.2,Low,100.0,This Month,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00004,P2,54.67,Upsell Premium Products,Customer,Champions,High,32430.71,987.34,Low,100.0,This Month,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00005,P3,48.77,Retain High Value Customer,Churn,12482,Medium,10467.61,511.93,Low,100.0,Monitor,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00006,P3,48.63,Upsell Premium Products,Customer,Champions,High,25100.0,952.85,Low,100.0,Monitor,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00007,P3,45.81,Upsell Premium Products,Customer,Champions,Medium,21688.13,930.17,Low,100.0,Monitor,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00008,P3,44.75,Reduce Overstock,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Medium,9982.98,565.75,Low,85.52,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00009,P3,44.53,Supplier Escalation,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Medium,9628.61,454.65,Low,85.49,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00010,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00011,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00012,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00013,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00014,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00015,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00016,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00017,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00018,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00019,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,420.66,-59.43,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00020,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,420.66,-59.43,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00021,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,420.66,-59.43,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00022,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,407.85,-60.62,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00023,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,407.85,-60.62,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00024,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,407.85,-60.62,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00025,P3,44.24,Reduce Overstock,Inventory,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,Medium,9960.6,573.14,Low,85.63,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00026,P3,43.72,Retain High Value Customer,Churn,15760,Medium,5719.92,380.61,Low,100.0,Monitor,VIP Retention,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00027,P3,43.65,Retain High Value Customer,Churn,15768,Medium,7008.93,433.27,Low,100.0,Monitor,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00028,P3,42.86,Retain High Value Customer,Churn,17448,Medium,6518.47,418.4,Low,100.0,Monitor,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00029,P3,42.27,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,2575.9,122.74,Low,84.5,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00030,P3,42.27,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,2575.9,122.74,Low,84.5,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 167871 units.
DI-00031,P3,42.27,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,2575.9,122.74,Low,84.5,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00032,P3,42.26,Retain High Value Customer,Churn,12918,Targeted,4000.13,296.19,Low,100.0,Monitor,VIP Retention,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00033,P3,42.05,Retain High Value Customer,Churn,18052,Targeted,3957.21,294.62,Low,100.0,Monitor,VIP Retention,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00034,P3,41.97,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,2078.36,87.32,Low,84.47,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00035,P3,41.97,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,2078.36,87.32,Low,84.47,Monitor,Warehouse Transfer,"Peer inventory coverage in the same category is materially higher elsewhere, suggesting that internal transfer can reduce urgent buy pressure."
DI-00036,P3,41.97,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,2078.36,87.32,Low,84.47,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 118063 units.
DI-00037,P3,41.97,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,2078.36,87.32,Low,84.47,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00038,P3,41.67,Retain High Value Customer,Churn,14091,Targeted,4043.34,302.07,Low,100.0,Monitor,VIP Retention,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00039,P3,41.61,Warehouse Transfer,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,464.32,-38.69,Low,85.05,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
DI-00040,P3,41.59,Warehouse Transfer,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,421.79,-44.05,Low,85.05,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
DI-00041,P3,41.59,Warehouse Transfer,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,435.72,-42.29,Low,85.05,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
DI-00042,P3,41.58,Warehouse Transfer,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,417.07,-44.65,Low,85.05,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
DI-00043,P3,41.58,Warehouse Transfer,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,412.12,-45.28,Low,85.05,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
DI-00044,P3,41.53,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,1347.14,29.47,Low,84.41,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 96636 units.
DI-00045,P3,41.53,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,1347.14,29.47,Low,84.41,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00046,P3,41.53,Supplier Escalation,Inventory,BROCADE RING PURSE  | United Kingdom | Accessories,Targeted,1347.14,29.47,Low,84.41,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00047,P3,41.29,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,962.58,-4.14,Low,84.38,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00048,P3,41.29,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,962.58,-4.14,Low,84.38,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 57459 units.
DI-00049,P3,41.29,Supplier Escalation,Inventory,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,Targeted,962.58,-4.14,Low,84.38,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00050,P3,41.27,Warehouse Transfer,Inventory,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,Targeted,2173.31,166.63,Low,85.81,Monitor,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Warehouse allocation score is low enough to justify transfer review.
